BFP,ADAB,KNN,RF,RSVM,LOGLC,class
0.284106,0.235798,0.354584,4.000000,0.014760,0.000000,0.000000
0.330952,0.191959,0.462649,4.000000,0.002534,0.000000,0.000000
0.187605,0.143257,0.356853,2.000000,0.220965,0.000000,0.000000
0.440398,0.704354,0.702805,14.000000,0.996194,1.000000,1.000000
0.854471,0.779232,0.801533,16.000000,0.998276,1.000000,1.000000
0.860945,0.681892,0.491841,19.000000,0.988106,0.000000,1.000000
1.000000,0.845711,0.773791,18.000000,0.964836,1.000000,1.000000
0.413313,0.664987,0.574088,13.000000,0.739661,0.144682,1.000000
0.447246,0.257409,0.254539,1.000000,0.000573,0.000000,0.000000
0.562981,0.412771,0.545455,7.000000,0.386526,0.000000,0.000000
0.415275,0.307056,0.269022,6.000000,0.003584,0.000000,0.000000
0.643973,0.269708,0.394349,6.000000,0.755463,0.986209,1.000000
0.613647,0.398681,0.245481,5.000000,0.649947,0.000000,1.000000
0.994831,0.691371,0.542402,17.000000,0.999525,1.000000,1.000000
0.999954,0.720965,0.818121,19.000000,0.998889,1.000000,1.000000
0.906390,0.768747,0.690652,17.000000,0.999716,1.000000,1.000000
0.649999,0.652321,0.537054,15.000000,0.835763,0.000000,0.000000
0.693869,0.636139,0.699097,18.000000,0.694584,0.000000,0.000000
0.670062,0.628887,0.631479,14.000000,0.554262,0.000000,0.000000
0.774758,0.716219,0.673018,16.000000,0.810356,0.000000,1.000000
0.993102,0.820280,0.741152,20.000000,0.980377,1.000000,1.000000
0.977259,0.745132,0.821059,20.000000,0.982848,1.000000,1.000000
0.939848,0.693271,0.761305,18.000000,0.909861,1.000000,1.000000
0.768754,0.750572,0.594330,18.000000,0.900878,0.000000,1.000000
0.500749,0.178757,0.345629,2.000000,0.001314,0.000000,0.000000
0.334617,0.263245,0.294159,4.000000,0.001055,0.000000,0.000000
0.349515,0.249250,0.310253,3.000000,0.000010,0.000000,0.000000
0.900144,0.821156,0.804438,19.000000,0.999986,1.000000,1.000000
0.859141,0.773164,0.707446,20.000000,0.999987,1.000000,1.000000
0.339193,0.524560,0.474254,14.000000,0.927895,1.000000,1.000000
0.902888,0.660908,0.317126,16.000000,0.999987,1.000000,1.000000
0.782660,0.403956,0.305901,7.000000,0.091452,1.000000,1.000000
0.816895,0.518143,0.786296,16.000000,0.991454,0.000000,0.000000
0.659588,0.425413,0.567205,6.000000,0.989556,0.000000,0.000000
0.568858,0.160967,0.338816,3.000000,0.254720,0.000000,0.000000
0.934651,0.682964,0.842237,15.000000,0.995878,1.000000,1.000000
0.999885,0.819624,0.676612,20.000000,0.977439,1.000000,1.000000
0.695662,0.827787,0.552369,16.000000,0.995809,1.000000,1.000000
0.999426,0.901891,0.665115,19.000000,0.988119,1.000000,1.000000
0.996478,0.704214,0.683109,17.000000,0.999506,1.000000,1.000000
0.410603,0.170615,0.414430,4.000000,0.001014,0.000000,0.000000
0.551520,0.478614,0.482230,9.000000,0.543275,1.000000,0.000000
0.913331,0.690041,0.822244,17.000000,1.000000,1.000000,1.000000
0.978473,0.774554,0.575678,15.000000,0.999998,1.000000,1.000000
0.618490,0.371431,0.439086,5.000000,0.120373,1.000000,1.000000
0.457429,0.565846,0.449907,8.000000,0.813191,0.000000,1.000000
0.997022,0.860877,0.790877,20.000000,0.999997,1.000000,1.000000
0.609141,0.430112,0.458808,5.000000,0.491841,0.000002,0.000000
0.792627,0.581127,0.585007,16.000000,0.988385,1.000000,0.000000
0.813999,0.595096,0.392029,13.000000,0.987116,1.000000,1.000000
0.901448,0.777165,0.614085,17.000000,0.986712,1.000000,1.000000
0.927662,0.751016,0.819900,18.000000,0.999090,1.000000,1.000000
0.934496,0.684579,0.654000,19.000000,0.996968,1.000000,1.000000
0.484725,0.768969,0.681516,17.000000,0.985966,1.000000,1.000000
0.454225,0.272809,0.490707,6.000000,0.260080,0.000000,0.000000
0.800657,0.337696,0.469927,13.000000,0.999976,1.000000,0.000000
0.390437,0.577222,0.258357,13.000000,0.036948,0.000000,1.000000
0.944368,0.785283,0.603982,15.000000,1.000000,1.000000,1.000000
0.972227,0.721425,0.369984,15.000000,0.999946,1.000000,1.000000
0.972621,0.784573,0.800007,13.000000,0.999999,1.000000,1.000000
0.427679,0.198366,0.355328,3.000000,0.312422,0.000000,0.000000
0.864769,0.768095,0.803096,19.000000,0.689975,0.000000,0.000000
0.907557,0.813349,0.813225,19.000000,0.661275,0.000000,1.000000
0.999736,0.784554,0.745704,20.000000,0.702683,1.000000,1.000000
0.893036,0.555750,0.492705,12.000000,0.610571,0.000000,1.000000
0.999993,0.677940,0.790823,19.000000,0.714337,1.000000,1.000000
0.986237,0.859761,0.760300,18.000000,0.999998,1.000000,0.000000
0.778214,0.407041,0.669170,14.000000,0.999950,0.000000,0.000000
0.589394,0.600486,0.612648,12.000000,0.811534,1.000000,1.000000
0.940296,0.650056,0.667838,17.000000,0.992265,0.000000,1.000000
0.999965,0.827028,0.695519,20.000000,1.000000,1.000000,1.000000
0.999825,0.778375,0.773042,20.000000,0.999995,1.000000,1.000000
