BFP,ADAB,KNN,RF,RSVM,LOGLC,class
0.126193,0.384710,0.146634,3.000000,0.002712,0.000000,0.000000
0.194881,0.301966,0.450998,5.000000,0.003638,0.000000,0.000000
0.134494,0.253507,0.478122,5.000000,0.001822,0.000000,0.000000
0.843279,0.595106,0.622287,12.000000,0.988906,1.000000,1.000000
0.577880,0.712967,0.294837,16.000000,0.919401,1.000000,1.000000
0.156816,0.709869,0.413658,8.000000,0.032302,0.002303,1.000000
0.287919,0.041667,0.353586,5.000000,0.106800,0.000000,0.000000
0.654486,0.857143,0.856410,18.000000,0.981391,1.000000,0.000000
0.350124,0.937500,0.815070,18.000000,0.983373,0.999999,0.000000
0.394925,0.857143,0.410184,8.000000,0.068904,0.000000,1.000000
0.973659,0.937500,0.780834,20.000000,0.946077,1.000000,1.000000
0.294735,0.666667,0.381372,2.000000,0.028998,0.000000,1.000000
0.178071,0.347388,0.427427,6.000000,0.157273,0.999727,0.000000
0.207887,0.394813,0.496487,12.000000,0.211248,0.000000,0.000000
0.142070,0.150866,0.352924,1.000000,0.010135,1.000000,0.000000
0.124538,0.666959,0.477722,3.000000,0.003907,0.008026,1.000000
0.491418,0.703458,0.757977,17.000000,0.967653,1.000000,1.000000
0.947968,0.791540,0.782678,17.000000,0.999487,1.000000,1.000000
0.112386,0.156759,0.218045,2.000000,0.000324,0.000000,0.000000
0.158001,0.424285,0.534531,3.000000,0.002665,0.796168,0.000000
0.274758,0.287346,0.416716,5.000000,0.024472,0.999752,0.000000
0.182769,0.486058,0.321195,7.000000,0.000978,1.000000,1.000000
0.425871,0.602256,0.485606,11.000000,0.164464,0.000268,1.000000
0.124164,0.136057,0.102208,1.000000,0.000016,0.000000,0.000000
0.091885,0.236349,0.350795,0.000000,0.002446,0.000000,0.000000
0.228724,0.488694,0.507442,8.000000,0.002804,0.997155,0.000000
0.999983,0.789878,0.772638,20.000000,0.959987,1.000000,1.000000
0.663398,0.782446,0.509607,17.000000,0.999986,1.000000,1.000000
0.319624,0.354353,0.551156,7.000000,0.038359,1.000000,0.000000
0.264992,0.307661,0.248695,4.000000,0.681994,0.000031,0.000000
0.996894,0.714488,0.740783,19.000000,0.996944,1.000000,1.000000
0.986976,0.716361,0.648221,20.000000,0.999802,1.000000,1.000000
0.097612,0.231356,0.133660,2.000000,0.000000,0.000000,0.000000
0.101507,0.185893,0.310343,2.000000,0.000000,0.000000,0.000000
0.874618,0.656572,0.429159,12.000000,0.984458,1.000000,1.000000
0.136995,0.445449,0.299778,5.000000,0.000006,1.000000,1.000000
0.151428,0.210605,0.433630,5.000000,0.001671,0.000000,0.000000
0.158511,0.284027,0.514144,10.000000,0.013707,1.000000,0.000000
0.388978,0.693948,0.486611,12.000000,0.954234,1.000000,1.000000
0.255071,0.606807,0.339109,12.000000,0.051986,1.000000,1.000000
0.200777,0.241531,0.464512,6.000000,0.033870,0.000000,0.000000
0.129736,0.100952,0.414825,2.000000,0.060127,1.000000,0.000000
0.479752,0.849884,0.499353,16.000000,0.780162,0.000000,1.000000
0.472564,0.533508,0.664568,10.000000,0.720590,1.000000,1.000000
0.139951,0.131353,0.404737,0.000000,0.000002,0.000000,0.000000
0.123102,0.386026,0.233929,4.000000,0.000003,0.000000,0.000000
0.904263,0.884770,0.790001,19.000000,0.999982,1.000000,1.000000
0.997998,0.689885,0.797804,17.000000,1.000000,1.000000,1.000000
