BFP,ADAB,KNN,RF,RSVM,LOGLC,class
0.135294,0.254924,0.255057,4.000000,0.083076,0.308740,0.000000
0.216917,0.656794,0.516611,13.000000,0.167992,1.000000,0.000000
0.293927,0.243400,0.330568,4.000000,0.353673,0.999034,0.000000
0.220087,0.585121,0.353313,8.000000,0.196765,1.000000,1.000000
0.408582,0.433307,0.409677,11.000000,0.514850,1.000000,1.000000
0.293321,0.683999,0.350924,10.000000,0.214239,1.000000,1.000000
0.146087,0.244887,0.331417,2.000000,0.134893,0.000000,0.000000
0.467381,0.395257,0.540267,8.000000,0.347457,0.000000,0.000000
0.162050,0.310064,0.237512,5.000000,0.130661,0.000000,0.000000
0.286281,0.391804,0.185068,4.000000,0.232795,1.000000,1.000000
0.651064,0.565661,0.655615,12.000000,0.534916,0.000000,1.000000
0.701318,0.710951,0.818710,16.000000,0.642711,0.000000,1.000000
0.189496,0.116512,0.349481,1.000000,0.242333,0.000000,0.000000
0.432141,0.570667,0.650939,11.000000,0.703672,1.000000,0.000000
0.252981,0.190760,0.235690,3.000000,0.272918,0.000000,0.000000
0.755347,0.739768,0.937999,16.000000,0.772507,1.000000,1.000000
0.541616,0.477587,0.445116,9.000000,0.691647,0.000000,1.000000
0.999153,0.582779,0.596836,16.000000,0.586800,1.000000,1.000000
0.166549,0.246636,0.227727,2.000000,0.055661,0.000000,0.000000
0.570542,0.691425,0.590479,19.000000,0.929863,0.000000,0.000000
0.124891,0.163756,0.310285,2.000000,0.074857,0.000000,0.000000
0.694002,0.728810,0.883954,18.000000,0.890854,1.000000,1.000000
0.635256,0.723855,0.822355,17.000000,0.888590,1.000000,1.000000
0.953760,0.721948,0.715282,19.000000,0.964111,1.000000,1.000000
0.112921,0.173281,0.236957,0.000000,0.083402,0.000000,0.000000
0.142077,0.258097,0.384901,2.000000,0.074697,0.000000,0.000000
0.436373,0.414300,0.497453,6.000000,0.753104,1.000000,0.000000
0.113577,0.521239,0.315719,7.000000,0.124309,0.000000,1.000000
0.200234,0.558826,0.456633,8.000000,0.154018,0.884655,1.000000
0.336077,0.627269,0.497900,11.000000,0.582563,0.000000,0.000000
0.318837,0.423996,0.452798,7.000000,0.428279,0.000000,0.000000
0.688028,0.753769,0.844035,19.000000,0.631259,0.000000,1.000000
0.997984,0.669975,0.442421,16.000000,0.696665,1.000000,1.000000
0.247750,0.359931,0.617898,5.000000,0.298336,0.000000,0.000000
0.186096,0.180576,0.247393,4.000000,0.227743,0.000000,0.000000
0.311964,0.336969,0.375800,9.000000,0.546307,0.000003,1.000000
0.893065,0.723168,0.392989,15.000000,0.861285,1.000000,1.000000
0.508518,0.564312,0.750470,10.000000,0.614371,0.033251,0.000000
0.924140,0.716508,0.680918,17.000000,0.737452,1.000000,0.000000
0.755175,0.852284,0.860105,19.000000,0.696253,1.000000,1.000000
0.942118,0.718736,0.579885,17.000000,0.796496,1.000000,1.000000
0.271339,0.407355,0.365695,3.000000,0.193626,0.956518,0.000000
0.205386,0.135770,0.366924,4.000000,0.088845,0.000000,0.000000
0.595868,0.747717,0.728657,18.000000,0.775661,1.000000,1.000000
0.119294,0.646969,0.483835,5.000000,0.059088,1.000000,1.000000
0.192336,0.421971,0.314543,4.000000,0.173083,0.000000,0.000000
0.358692,0.501016,0.689165,10.000000,0.479291,0.000000,0.000000
0.673700,0.660837,0.208920,11.000000,0.786855,1.000000,1.000000
0.646172,0.545025,0.357177,9.000000,0.759270,1.000000,1.000000
